unique_id,y,ds
M10000,5320.0,2011-04-30 12:00:00
M10000,5700.0,2011-05-31 12:00:00
M10000,6960.0,2011-06-30 12:00:00
M10000,7200.0,2011-07-31 12:00:00
M10000,4990.0,2011-08-31 12:00:00
M10000,4640.0,2011-09-30 12:00:00
M10000,4280.0,2011-10-31 12:00:00
M10000,3980.0,2011-11-30 12:00:00
M10000,3940.0,2011-12-31 12:00:00
M10000,3830.0,2012-01-31 12:00:00
M10000,3700.0,2012-02-29 12:00:00
M10000,3640.0,2012-03-31 12:00:00
M10000,3340.0,2012-04-30 12:00:00
M10000,3370.0,2012-05-31 12:00:00
M10000,3320.0,2012-06-30 12:00:00
M10000,3380.0,2012-07-31 12:00:00
M10000,3270.0,2012-08-31 12:00:00
M10000,3180.0,2012-09-30 12:00:00
M10000,2890.0,2012-10-31 12:00:00
M10000,2660.0,2012-11-30 12:00:00
M10000,2390.0,2012-12-31 12:00:00
M10000,1950.0,2013-01-31 12:00:00
M10000,2200.0,2013-02-28 12:00:00
M10000,2420.0,2013-03-31 12:00:00
M10000,2740.0,2013-04-30 12:00:00
M10000,3000.0,2013-05-31 12:00:00
M10000,3040.0,2013-06-30 12:00:00
M10000,2920.0,2013-07-31 12:00:00
M10000,2870.0,2013-08-31 12:00:00
M10000,2730.0,2013-09-30 12:00:00
M10000,2750.0,2013-10-31 12:00:00
M10000,2740.0,2013-11-30 12:00:00
M10000,2600.0,2013-12-31 12:00:00
M10000,2410.0,2014-01-31 12:00:00
M10000,2470.0,2014-02-28 12:00:00
M10000,2500.0,2014-03-31 12:00:00
M10000,2730.0,2014-04-30 12:00:00
M10000,2840.0,2014-05-31 12:00:00
M10000,2840.0,2014-06-30 12:00:00
M10000,2800.0,2014-07-31 12:00:00
M10000,2780.0,2014-08-31 12:00:00
M10000,2560.0,2014-09-30 12:00:00
M10000,2360.0,2014-10-31 12:00:00
M10000,2440.0,2014-11-30 12:00:00
M10000,2220.0,2014-12-31 12:00:00
M10000,1980.0,2015-01-31 12:00:00
M10000,2100.0,2015-02-28 12:00:00
M10000,2220.0,2015-03-31 12:00:00
M10000,2170.0,2015-04-30 12:00:00
M10000,2470.0,2015-05-31 12:00:00
M10000,2490.0,2015-06-30 12:00:00
M10000,2680.0,2015-07-31 12:00:00
M10000,2800.0,2015-08-31 12:00:00
M10000,2780.0,2015-09-30 12:00:00
M10000,2580.0,2015-10-31 12:00:00
M10000,2220.0,2015-11-30 12:00:00
M10000,2010.0,2015-12-31 12:00:00
M10000,1640.0,2016-01-31 12:00:00
M10000,1680.0,2016-02-29 12:00:00
M10000,1870.0,2016-03-31 12:00:00
M10000,1890.0,2016-04-30 12:00:00
M10000,2070.0,2016-05-31 12:00:00
M10000,2330.0,2016-06-30 12:00:00
M10000,2680.0,2016-07-31 12:00:00
M10000,2810.0,2016-08-31 12:00:00
M10000,2600.0,2016-09-30 12:00:00
M10000,2680.0,2016-10-31 12:00:00
M10000,2790.0,2016-11-30 12:00:00
M10000,2460.0,2016-12-31 12:00:00
M10127,954.0,2010-11-30 12:00:00
M10127,950.0,2010-12-31 12:00:00
M10127,960.0,2011-01-31 12:00:00
M10127,973.0,2011-02-28 12:00:00
M10127,990.0,2011-03-31 12:00:00
M10127,988.0,2011-04-30 12:00:00
M10127,990.0,2011-05-31 12:00:00
M10127,988.0,2011-06-30 12:00:00
M10127,986.0,2011-07-31 12:00:00
M10127,1005.0,2011-08-31 12:00:00
M10127,995.0,2011-09-30 12:00:00
M10127,999.0,2011-10-31 12:00:00
M10127,983.0,2011-11-30 12:00:00
M10127,980.0,2011-12-31 12:00:00
M10127,987.0,2012-01-31 12:00:00
M10127,1006.0,2012-02-29 12:00:00
M10127,1000.0,2012-03-31 12:00:00
M10127,1009.0,2012-04-30 12:00:00
M10127,1023.0,2012-05-31 12:00:00
M10127,1012.0,2012-06-30 12:00:00
M10127,1022.0,2012-07-31 12:00:00
M10127,1008.0,2012-08-31 12:00:00
M10127,1016.0,2012-09-30 12:00:00
M10127,1033.0,2012-10-31 12:00:00
M10127,987.0,2012-11-30 12:00:00
M10127,999.0,2012-12-31 12:00:00
M10127,1008.0,2013-01-31 12:00:00
M10127,1013.0,2013-02-28 12:00:00
M10127,1021.0,2013-03-31 12:00:00
M10127,1049.0,2013-04-30 12:00:00
M10127,1030.0,2013-05-31 12:00:00
M10127,1035.0,2013-06-30 12:00:00
M10127,1044.0,2013-07-31 12:00:00
M10127,1030.0,2013-08-31 12:00:00
M10127,1038.0,2013-09-30 12:00:00
M10127,1052.0,2013-10-31 12:00:00
M10127,1009.0,2013-11-30 12:00:00
M10127,1024.0,2013-12-31 12:00:00
M10127,1041.0,2014-01-31 12:00:00
M10127,1037.0,2014-02-28 12:00:00
M10127,1045.0,2014-03-31 12:00:00
M10127,1068.0,2014-04-30 12:00:00
M10127,1056.0,2014-05-31 12:00:00
M10127,1060.0,2014-06-30 12:00:00
M10127,1054.0,2014-07-31 12:00:00
M10127,1057.0,2014-08-31 12:00:00
M10127,1080.0,2014-09-30 12:00:00
M10127,1070.0,2014-10-31 12:00:00
M10127,1037.0,2014-11-30 12:00:00
M10127,1060.0,2014-12-31 12:00:00
M10127,1066.0,2015-01-31 12:00:00
M10127,1063.0,2015-02-28 12:00:00
